word	nodeType	synsetCount	unit	count
able	ADJ	4	02x01_-_Follow_Mama_and_Papa	1
actual	ADJ	5	02x01_-_Follow_Mama_and_Papa	1
armed	ADJ	5	02x01_-_Follow_Mama_and_Papa	1
bad	ADJ	17	02x01_-_Follow_Mama_and_Papa	4
bored	ADJ	4	02x01_-_Follow_Mama_and_Papa	1
boring	ADJ	5	02x01_-_Follow_Mama_and_Papa	1
capable	ADJ	5	02x01_-_Follow_Mama_and_Papa	1
careful	ADJ	5	02x01_-_Follow_Mama_and_Papa	1
casual	ADJ	9	02x01_-_Follow_Mama_and_Papa	1
certain	ADJ	7	02x01_-_Follow_Mama_and_Papa	1
cool	ADJ	11	02x01_-_Follow_Mama_and_Papa	1
countless	ADJ	1	02x01_-_Follow_Mama_and_Papa	1
dangerous	ADJ	2	02x01_-_Follow_Mama_and_Papa	2
delicious	ADJ	3	02x01_-_Follow_Mama_and_Papa	2
different	ADJ	5	02x01_-_Follow_Mama_and_Papa	2
discrete	ADJ	1	02x01_-_Follow_Mama_and_Papa	1
dry	ADJ	19	02x01_-_Follow_Mama_and_Papa	1
easy	ADJ	15	02x01_-_Follow_Mama_and_Papa	1
exciting	ADJ	10	02x01_-_Follow_Mama_and_Papa	2
extra	ADJ	7	02x01_-_Follow_Mama_and_Papa	1
extreme	ADJ	6	02x01_-_Follow_Mama_and_Papa	1
faint	ADJ	8	02x01_-_Follow_Mama_and_Papa	1
fake	ADJ	8	02x01_-_Follow_Mama_and_Papa	2
fierce	ADJ	4	02x01_-_Follow_Mama_and_Papa	1
fine	ADJ	10	02x01_-_Follow_Mama_and_Papa	1
fun	ADJ	4	02x01_-_Follow_Mama_and_Papa	1
good	ADJ	27	02x01_-_Follow_Mama_and_Papa	9
great	ADJ	7	02x01_-_Follow_Mama_and_Papa	2
happy	ADJ	4	02x01_-_Follow_Mama_and_Papa	2
hectic	ADJ	1	02x01_-_Follow_Mama_and_Papa	1
high	ADJ	18	02x01_-_Follow_Mama_and_Papa	1
hopeless	ADJ	4	02x01_-_Follow_Mama_and_Papa	1
horrendous	ADJ	1	02x01_-_Follow_Mama_and_Papa	1
hungry	ADJ	2	02x01_-_Follow_Mama_and_Papa	1
important	ADJ	5	02x01_-_Follow_Mama_and_Papa	1
impressive	ADJ	2	02x01_-_Follow_Mama_and_Papa	1
infamous	ADJ	1	02x01_-_Follow_Mama_and_Papa	1
key	ADJ	21	02x01_-_Follow_Mama_and_Papa	1
lethal	ADJ	1	02x01_-_Follow_Mama_and_Papa	1
like	ADJ	11	02x01_-_Follow_Mama_and_Papa	1
little	ADJ	10	02x01_-_Follow_Mama_and_Papa	9
lone	ADJ	3	02x01_-_Follow_Mama_and_Papa	1
loose	ADJ	18	02x01_-_Follow_Mama_and_Papa	1
mad	ADJ	4	02x01_-_Follow_Mama_and_Papa	2
married	ADJ	5	02x01_-_Follow_Mama_and_Papa	1
mean	ADJ	16	02x01_-_Follow_Mama_and_Papa	1
new	ADJ	12	02x01_-_Follow_Mama_and_Papa	1
nice	ADJ	6	02x01_-_Follow_Mama_and_Papa	1
normal	ADJ	5	02x01_-_Follow_Mama_and_Papa	3
obtrusive	ADJ	2	02x01_-_Follow_Mama_and_Papa	1
odd	ADJ	6	02x01_-_Follow_Mama_and_Papa	1
olive	ADJ	6	02x01_-_Follow_Mama_and_Papa	1
original	ADJ	6	02x01_-_Follow_Mama_and_Papa	1
ostanian	ADJ	0	02x01_-_Follow_Mama_and_Papa	1
pathetic	ADJ	3	02x01_-_Follow_Mama_and_Papa	1
perfect	ADJ	5	02x01_-_Follow_Mama_and_Papa	1
personal	ADJ	6	02x01_-_Follow_Mama_and_Papa	1
pitiful	ADJ	3	02x01_-_Follow_Mama_and_Papa	1
psychic	ADJ	3	02x01_-_Follow_Mama_and_Papa	1
pufferfish	ADJ	2	02x01_-_Follow_Mama_and_Papa	2
rare	ADJ	6	02x01_-_Follow_Mama_and_Papa	1
right	ADJ	36	02x01_-_Follow_Mama_and_Papa	4
